REFERENCIA;ITEM;DESCRICAO;VALIDADE;DATA;PRECO1;PRECO2;PRECO3;PRECO4
1335;SAIA;SAIA.OCEANA (GR);VERAO 20/21;25/02/2021;79,9;91,9;0;199,75
1370;CALÇA;CAL PANDORA (MAR);VERAO 20/21;25/02/2021;79,9;91,9;0;199,9
1487;CALÇA;CAL SAULA (HR);INVERNO 2021;17/02/2021;99,9;114,9;0;249,9
1497;VESTIDO;VE. SENIA;VERAO 20/21;26/06/2020;129,9;149,9;0;259,9
1508;VESTIDO;VE SIBILA (TAT);INVERNO 2021;17/02/2021;129,9;149,9;0;324,7
1516;CALÇA;CAL SILVINA (MAR);INVERNO 2021;17/02/2021;109,9;125,9;0;275,9
1520;VESTIDO;VE SIRA (ISA);VERAO 20/21;31/08/2020;139,9;160,9;0;279,8
1521;VESTIDO;VE. SIRIA;VERAO 20/21;24/06/2020;159,9;183,9;;319,8
1523;VESTIDO;VE SOL (HA);VERAO 20/21;23/07/2020;129,9;149,9;0;259,9
1524;VESTIDO;VE SOLANA (HR);VERAO 20/21;24/07/2020;139,9;160,9;0;279,9
1526;VESTIDO;VE SOLEDADE (ISA);INVERNO 2020;08/07/2020;111,9;128,9;0;279,9
1530;VESTIDO;VE.SORAIA;VERAO 20/21;22/06/2020;129,9;149,9;0;259,9
1537;VESTIDO;VE STELLA (TAT);VERAO 20/21;02/07/2020;149,9;171,9;0;299,9
1538;VESTIDO;VE SURIA (HR);VERAO 20/21;23/07/2020;129,9;149,9;0;259,9
1542;VESTIDO;VE TALITA (HA);VERAO 20/21;07/07/2020;129,9;149,9;;259,9
1544;VESTIDO;VE TANIA (HR);;04/07/2020;139,9;160,9;0;279,9
1548;CONJUNTO;CONJ.TALITA;VERAO 20/21;27/06/2020;159,9;183,9;0;319,8
1549;VESTIDO;VE TAMAR;VERAO 20/21;29/06/2020;129,9;149,9;0;259,9
1552;CONJUNTO;CONJ TAMARA (MAR);VERAO 20/21;02/07/2020;149,9;172,9;;299,8
1554;CONJUNTO;CONJ TASIA (HA);VERAO 20/21;02/07/2020;189,9;218,9;;379,9
1557;CONJUNTO;CONJ TATIANA (TAT);VERAO 20/21;09/07/2020;169,9;195,9;0;424,75
1561;CONJUNTO;CONJ TERESA (NAR);VERAO 20/21;13/07/2020;159,9;183,9;0;319,9
01561B;BLUSA;BL TERESA;;05/10/2020;59,9;0;0;0
1562;CONJUNTO;CONJ. TIARA (SIM);VERAO 20/21;11/07/2020;159,9;183,9;0;319,9
1564;CONJUNTO;CONJ TICIANA (MAR);VERAO 20/21;11/07/2020;159,9;183,9;0;319,9
1566;CONJUNTO;CONJ TITA (SIM);VERAO 20/21;21/07/2020;149,9;171,9;0;299,9
01566 BL;BLUSA;BL TITA;;05/10/2020;59,9;0;0;0
01566B;BLUSA;BL TITA;;05/10/2020;59,9;0;0;0
1569;CONJUNTO;CONJ TITANIA (HG);VERAO 20/21;20/07/2020;149,9;172,9;0;299,9
1572;CONJUNTO;CONJ TRASILA (MAR);VERAO 20/21;29/07/2020;149,9;172,9;0;299,9
01572C;CALÇA;CAL TRASILIA;;05/10/2020;89,9;0;0;0
1575;CONJUNTO;CONJ TULIPA (NAR);VERAO 20/21;31/07/2020;169,9;195,9;0;424,75
1576;VESTIDO;VE UBARLINA (SIM);;12/08/2020;129,9;149,9;0;259,9
1577;VESTIDO;VE URBIRIA (HG);VERAO 20/21;11/08/2020;139,9;160,9;0;279,9
1578;VESTIDO;VE URSULA (SIM);VERAO 20/21;25/08/2020;109,9;125,9;0;219,9
